Year,State,District,Area_1000_ha,Production_1000_tons,Yield_kg_ha,Crop,Avg_Rainfall_mm,Avg_Temp_C,Soil_Type
2013,Madhya Pradesh,Balaghat,258.65,434.08,1678.25,RICE,800,26.0,Black
2014,Madhya Pradesh,Balaghat,245.0,449.33,1834.0,RICE,800,26.0,Black
2015,Madhya Pradesh,Balaghat,266.0,445.33,1674.17,RICE,800,26.0,Black
2016,Madhya Pradesh,Balaghat,272.0,675.33,2482.83,RICE,800,26.0,Black
2017,Madhya Pradesh,Balaghat,220.21,395.48,1795.92,RICE,800,26.0,Black
2010,Madhya Pradesh,Chhindwara,18.3,30.2,1650.27,RICE,800,26.0,Black
2011,Madhya Pradesh,Chhindwara,20.2,43.0,2128.71,RICE,800,26.0,Black
2012,Madhya Pradesh,Chhindwara,13.94,38.37,2752.51,RICE,800,26.0,Black
2013,Madhya Pradesh,Chhindwara,13.81,28.05,2031.14,RICE,800,26.0,Black
2014,Madhya Pradesh,Chhindwara,20.0,48.0,2400.0,RICE,800,26.0,Black
2015,Madhya Pradesh,Chhindwara,31.0,54.0,1741.94,RICE,800,26.0,Black
2016,Madhya Pradesh,Chhindwara,35.0,53.33,1523.71,RICE,800,26.0,Black
2017,Madhya Pradesh,Chhindwara,34.01,42.06,1236.7,RICE,800,26.0,Black
2010,Madhya Pradesh,Narsinghpur,12.5,19.5,1560.0,RICE,800,26.0,Black
2011,Madhya Pradesh,Narsinghpur,12.0,21.5,1791.67,RICE,800,26.0,Black
2012,Madhya Pradesh,Narsinghpur,12.91,17.21,1333.08,RICE,800,26.0,Black
2013,Madhya Pradesh,Narsinghpur,18.36,24.99,1361.11,RICE,800,26.0,Black
2014,Madhya Pradesh,Narsinghpur,18.0,25.33,1407.22,RICE,800,26.0,Black
2015,Madhya Pradesh,Narsinghpur,34.0,89.33,2627.35,RICE,800,26.0,Black
2016,Madhya Pradesh,Narsinghpur,55.0,154.66,2812.0,RICE,800,26.0,Black
2017,Madhya Pradesh,Narsinghpur,39.1,181.3,4636.83,RICE,800,26.0,Black
2010,Madhya Pradesh,Seoni / Shivani,116.3,153.9,1323.3,RICE,800,26.0,Black
2011,Madhya Pradesh,Seoni / Shivani,121.2,176.4,1455.45,RICE,800,26.0,Black
2012,Madhya Pradesh,Seoni / Shivani,136.55,281.01,2057.93,RICE,800,26.0,Black
2013,Madhya Pradesh,Seoni / Shivani,150.24,440.99,2935.24,RICE,800,26.0,Black
2014,Madhya Pradesh,Seoni / Shivani,139.0,199.33,1434.03,RICE,800,26.0,Black
2015,Madhya Pradesh,Seoni / Shivani,169.0,238.67,1412.25,RICE,800,26.0,Black
2016,Madhya Pradesh,Seoni / Shivani,182.0,450.0,2472.53,RICE,800,26.0,Black
2017,Madhya Pradesh,Seoni / Shivani,133.13,319.98,2403.52,RICE,800,26.0,Black
2010,Madhya Pradesh,Mandla,191.1,157.5,824.18,RICE,800,26.0,Black
2011,Madhya Pradesh,Mandla,198.7,201.8,1015.6,RICE,800,26.0,Black
2012,Madhya Pradesh,Mandla,210.44,212.69,1010.69,RICE,800,26.0,Black
2013,Madhya Pradesh,Mandla,212.68,242.15,1138.56,RICE,800,26.0,Black
2014,Madhya Pradesh,Mandla,209.0,274.0,1311.0,RICE,800,26.0,Black
2015,Madhya Pradesh,Mandla,215.0,365.33,1699.21,RICE,800,26.0,Black
2016,Madhya Pradesh,Mandla,227.0,440.66,1941.23,RICE,800,26.0,Black
2017,Madhya Pradesh,Mandla,215.1,689.45,3205.25,RICE,800,26.0,Black
2010,Madhya Pradesh,Sagar,6.0,4.5,750.0,RICE,800,26.0,Black
2011,Madhya Pradesh,Sagar,3.4,2.7,794.12,RICE,800,26.0,Black
2012,Madhya Pradesh,Sagar,5.26,3.33,633.08,RICE,800,26.0,Black
2013,Madhya Pradesh,Sagar,4.78,2.09,437.24,RICE,800,26.0,Black
2014,Madhya Pradesh,Sagar,5.0,5.33,1066.0,RICE,800,26.0,Black
2015,Madhya Pradesh,Sagar,7.0,2.0,285.71,RICE,800,26.0,Black
2016,Madhya Pradesh,Sagar,6.0,6.0,1000.0,RICE,800,26.0,Black
2017,Madhya Pradesh,Sagar,5.06,5.69,1124.51,RICE,800,26.0,Black
2010,Madhya Pradesh,Damoh,50.2,51.9,1033.86,RICE,800,26.0,Black
2011,Madhya Pradesh,Damoh,55.8,59.5,1066.31,RICE,800,26.0,Black
2012,Madhya Pradesh,Damoh,56.3,55.93,993.43,RICE,800,26.0,Black
2013,Madhya Pradesh,Damoh,55.63,62.31,1120.08,RICE,800,26.0,Black
2014,Madhya Pradesh,Damoh,66.0,70.67,1070.76,RICE,800,26.0,Black
2015,Madhya Pradesh,Damoh,73.0,82.67,1132.47,RICE,800,26.0,Black
2016,Madhya Pradesh,Damoh,80.0,150.0,1875.0,RICE,800,26.0,Black
2017,Madhya Pradesh,Damoh,75.73,126.22,1666.71,RICE,800,26.0,Black
2010,Madhya Pradesh,Tikamgarh,12.0,5.4,450.0,RICE,800,26.0,Black
2011,Madhya Pradesh,Tikamgarh,11.7,8.5,726.5,RICE,800,26.0,Black
2012,Madhya Pradesh,Tikamgarh,11.77,5.6,475.79,RICE,800,26.0,Black
2013,Madhya Pradesh,Tikamgarh,11.41,4.01,351.45,RICE,800,26.0,Black
2014,Madhya Pradesh,Tikamgarh,13.0,5.33,410.0,RICE,800,26.0,Black
2015,Madhya Pradesh,Tikamgarh,6.0,0.67,111.67,RICE,800,26.0,Black
2016,Madhya Pradesh,Tikamgarh,6.0,6.0,1000.0,RICE,800,26.0,Black
2017,Madhya Pradesh,Tikamgarh,4.56,1.64,359.65,RICE,800,26.0,Black
2010,Madhya Pradesh,Chhatarpur,8.9,5.5,617.98,RICE,800,26.0,Black
2011,Madhya Pradesh,Chhatarpur,9.1,7.9,868.13,RICE,800,26.0,Black
2012,Madhya Pradesh,Chhatarpur,5.79,2.17,374.78,RICE,800,26.0,Black
2013,Madhya Pradesh,Chhatarpur,5.37,4.75,884.54,RICE,800,26.0,Black
2014,Madhya Pradesh,Chhatarpur,10.0,8.67,867.0,RICE,800,26.0,Black
2015,Madhya Pradesh,Chhatarpur,8.0,2.67,333.75,RICE,800,26.0,Black
2016,Madhya Pradesh,Chhatarpur,8.0,8.66,1082.5,RICE,800,26.0,Black
2017,Madhya Pradesh,Chhatarpur,6.33,2.98,470.77,RICE,800,26.0,Black
2010,Madhya Pradesh,Panna,53.7,51.6,960.89,RICE,800,26.0,Black
2011,Madhya Pradesh,Panna,61.3,61.0,995.11,RICE,800,26.0,Black
2012,Madhya Pradesh,Panna,63.64,64.91,1019.96,RICE,800,26.0,Black
2013,Madhya Pradesh,Panna,80.65,91.51,1134.66,RICE,800,26.0,Black
2014,Madhya Pradesh,Panna,56.0,76.67,1369.11,RICE,800,26.0,Black
2015,Madhya Pradesh,Panna,55.0,17.33,315.09,RICE,800,26.0,Black
2016,Madhya Pradesh,Panna,69.0,179.33,2598.99,RICE,800,26.0,Black
2017,Madhya Pradesh,Panna,58.4,140.2,2400.68,RICE,800,26.0,Black
2010,Madhya Pradesh,Rewa,102.1,67.5,661.12,RICE,800,26.0,Black
2011,Madhya Pradesh,Rewa,120.4,141.8,1177.74,RICE,800,26.0,Black
2012,Madhya Pradesh,Rewa,123.51,199.65,1616.47,RICE,800,26.0,Black
2013,Madhya Pradesh,Rewa,119.62,214.11,1789.92,RICE,800,26.0,Black
2014,Madhya Pradesh,Rewa,136.0,246.0,1808.82,RICE,800,26.0,Black
2015,Madhya Pradesh,Rewa,121.0,114.67,947.69,RICE,800,26.0,Black
2016,Madhya Pradesh,Rewa,126.0,352.0,2793.65,RICE,800,26.0,Black
2017,Madhya Pradesh,Rewa,121.3,625.9,5159.93,RICE,800,26.0,Black
2010,Madhya Pradesh,Sidhi,102.5,91.3,890.73,RICE,800,26.0,Black
2011,Madhya Pradesh,Sidhi,87.8,84.5,962.41,RICE,800,26.0,Black
2012,Madhya Pradesh,Sidhi,115.75,238.24,2058.23,RICE,800,26.0,Black
2013,Madhya Pradesh,Sidhi,116.25,172.7,1485.59,RICE,800,26.0,Black
2014,Madhya Pradesh,Sidhi,100.0,126.0,1260.0,RICE,800,26.0,Black
2015,Madhya Pradesh,Sidhi,118.0,137.33,1163.81,RICE,800,26.0,Black
2016,Madhya Pradesh,Sidhi,118.0,348.0,2949.15,RICE,800,26.0,Black
2017,Madhya Pradesh,Sidhi,113.95,233.5,2049.14,RICE,800,26.0,Black
2010,Madhya Pradesh,Satna,71.7,74.3,1036.26,RICE,800,26.0,Black
2011,Madhya Pradesh,Satna,82.4,135.9,1649.27,RICE,800,26.0,Black
2012,Madhya Pradesh,Satna,85.38,197.67,2315.18,RICE,800,26.0,Black
2013,Madhya Pradesh,Satna,82.07,188.56,2297.55,RICE,800,26.0,Black
2014,Madhya Pradesh,Satna,104.0,201.33,1935.87,RICE,800,26.0,Black
2015,Madhya Pradesh,Satna,104.0,238.0,2288.46,RICE,800,26.0,Black
2016,Madhya Pradesh,Satna,120.0,393.33,3277.75,RICE,800,26.0,Black
2017,Madhya Pradesh,Satna,132.0,324.8,2460.61,RICE,800,26.0,Black
2010,Madhya Pradesh,Shahdol,236.6,227.1,959.85,RICE,800,26.0,Black
2011,Madhya Pradesh,Shahdol,258.6,353.7,1367.75,RICE,800,26.0,Black
2012,Madhya Pradesh,Shahdol,257.73,383.9,1489.54,RICE,800,26.0,Black
2013,Madhya Pradesh,Shahdol,257.18,484.88,1885.37,RICE,800,26.0,Black
2014,Madhya Pradesh,Shahdol,269.0,510.67,1898.4,RICE,800,26.0,Black
2015,Madhya Pradesh,Shahdol,229.0,378.0,1650.66,RICE,800,26.0,Black
2016,Madhya Pradesh,Shahdol,276.0,583.32,2113.48,RICE,800,26.0,Black
2017,Madhya Pradesh,Shahdol,240.33,389.9,1622.35,RICE,800,26.0,Black
2010,Madhya Pradesh,Gwalior,24.5,64.0,2612.24,RICE,800,26.0,Black
2011,Madhya Pradesh,Gwalior,34.7,111.2,3204.61,RICE,800,26.0,Black
2012,Madhya Pradesh,Gwalior,49.16,89.43,1819.16,RICE,800,26.0,Black
2013,Madhya Pradesh,Gwalior,57.51,135.09,2348.98,RICE,800,26.0,Black
2014,Madhya Pradesh,Gwalior,49.0,111.33,2272.04,RICE,800,26.0,Black
2015,Madhya Pradesh,Gwalior,53.0,150.0,2830.19,RICE,800,26.0,Black
2016,Madhya Pradesh,Gwalior,58.0,95.33,1643.62,RICE,800,26.0,Black
2017,Madhya Pradesh,Gwalior,9.11,26.29,2885.84,RICE,800,26.0,Black
2010,Madhya Pradesh,Shivpuri,8.3,13.2,1590.36,RICE,800,26.0,Black
2011,Madhya Pradesh,Shivpuri,9.0,14.2,1577.78,RICE,800,26.0,Black
2012,Madhya Pradesh,Shivpuri,13.4,19.88,1483.58,RICE,800,26.0,Black
2013,Madhya Pradesh,Shivpuri,14.63,17.06,1166.1,RICE,800,26.0,Black
2014,Madhya Pradesh,Shivpuri,14.0,17.33,1237.86,RICE,800,26.0,Black
2015,Madhya Pradesh,Shivpuri,11.0,27.33,2484.55,RICE,800,26.0,Black
2016,Madhya Pradesh,Shivpuri,14.0,39.33,2809.29,RICE,800,26.0,Black
2017,Madhya Pradesh,Shivpuri,4.4,10.8,2454.55,RICE,800,26.0,Black
2010,Madhya Pradesh,Guna,1.3,1.3,1000.0,RICE,800,26.0,Black
2011,Madhya Pradesh,Guna,1.4,1.6,1142.86,RICE,800,26.0,Black
2012,Madhya Pradesh,Guna,1.87,4.52,2417.11,RICE,800,26.0,Black
2013,Madhya Pradesh,Guna,1.92,3.17,1651.04,RICE,800,26.0,Black
2014,Madhya Pradesh,Guna,3.0,6.66,2220.0,RICE,800,26.0,Black
2015,Madhya Pradesh,Guna,4.0,6.0,1500.0,RICE,800,26.0,Black
2017,Madhya Pradesh,Guna,5.71,9.11,1595.45,RICE,800,26.0,Black
2010,Madhya Pradesh,Datia,5.7,7.1,1245.61,RICE,800,26.0,Black
2011,Madhya Pradesh,Datia,5.0,6.2,1240.0,RICE,800,26.0,Black
2012,Madhya Pradesh,Datia,8.08,16.53,2045.79,RICE,800,26.0,Black
2013,Madhya Pradesh,Datia,12.14,13.9,1144.98,RICE,800,26.0,Black
2014,Madhya Pradesh,Datia,30.0,29.33,977.67,RICE,800,26.0,Black
2015,Madhya Pradesh,Datia,14.0,24.0,1714.29,RICE,800,26.0,Black
2016,Madhya Pradesh,Datia,17.0,36.66,2156.47,RICE,800,26.0,Black
2017,Madhya Pradesh,Datia,16.6,30.18,1818.07,RICE,800,26.0,Black
2010,Madhya Pradesh,Morena,9.7,28.8,2969.07,RICE,800,26.0,Black
2011,Madhya Pradesh,Morena,15.1,44.9,2973.51,RICE,800,26.0,Black
2012,Madhya Pradesh,Morena,13.71,50.67,3695.84,RICE,800,26.0,Black
2013,Madhya Pradesh,Morena,16.11,58.64,3639.98,RICE,800,26.0,Black
2014,Madhya Pradesh,Morena,20.0,46.0,2300.0,RICE,800,26.0,Black
2015,Madhya Pradesh,Morena,20.0,70.0,3500.0,RICE,800,26.0,Black
2016,Madhya Pradesh,Morena,19.0,46.66,2455.79,RICE,800,26.0,Black
2017,Madhya Pradesh,Morena,21.4,60.1,2808.41,RICE,800,26.0,Black
2010,Madhya Pradesh,Bhind,5.6,15.3,2732.14,RICE,800,26.0,Black
2011,Madhya Pradesh,Bhind,0.4,1.3,3250.0,RICE,800,26.0,Black
2012,Madhya Pradesh,Bhind,4.62,12.47,2699.13,RICE,800,26.0,Black
2013,Madhya Pradesh,Bhind,4.8,20.81,4335.42,RICE,800,26.0,Black
2014,Madhya Pradesh,Bhind,6.0,20.67,3445.0,RICE,800,26.0,Black
2015,Madhya Pradesh,Bhind,6.0,27.33,4555.0,RICE,800,26.0,Black
2016,Madhya Pradesh,Bhind,7.0,15.33,2190.0,RICE,800,26.0,Black
2017,Madhya Pradesh,Bhind,3.0,5.76,1920.0,RICE,800,26.0,Black
2017,Madhya Pradesh,Indore,0.45,1.02,2266.67,RICE,800,26.0,Black
2010,Madhya Pradesh,Ratlam,1.7,1.3,764.71,RICE,800,26.0,Black
2011,Madhya Pradesh,Ratlam,1.9,1.8,947.37,RICE,800,26.0,Black
2012,Madhya Pradesh,Ratlam,1.36,1.55,1139.71,RICE,800,26.0,Black
2013,Madhya Pradesh,Ratlam,1.29,1.55,1201.55,RICE,800,26.0,Black
2016,Madhya Pradesh,Ratlam,1.0,0.66,660.0,RICE,800,26.0,Black
2017,Madhya Pradesh,Ujjain,0.2,0.38,1900.0,RICE,800,26.0,Black
2012,Madhya Pradesh,Mandsaur,0.04,0.02,500.0,RICE,800,26.0,Black
2013,Madhya Pradesh,Mandsaur,0.04,0.01,250.0,RICE,800,26.0,Black
2017,Madhya Pradesh,Mandsaur,0.8,1.76,2200.0,RICE,800,26.0,Black
2010,Madhya Pradesh,Dewas,0.2,0.2,1000.0,RICE,800,26.0,Black
2011,Madhya Pradesh,Dewas,0.2,0.2,1000.0,RICE,800,26.0,Black
2012,Madhya Pradesh,Dewas,0.14,0.12,857.14,RICE,800,26.0,Black
2013,Madhya Pradesh,Dewas,0.11,0.08,727.27,RICE,800,26.0,Black
2014,Madhya Pradesh,Dewas,1.0,0.67,670.0,RICE,800,26.0,Black
2017,Madhya Pradesh,Dewas,0.1,0.07,730.0,RICE,800,26.0,Black
2010,Madhya Pradesh,Dhar,1.2,0.9,750.0,RICE,800,26.0,Black
2011,Madhya Pradesh,Dhar,1.3,1.1,846.15,RICE,800,26.0,Black
2012,Madhya Pradesh,Dhar,0.76,0.66,868.42,RICE,800,26.0,Black
2013,Madhya Pradesh,Dhar,0.66,0.5,757.58,RICE,800,26.0,Black
2014,Madhya Pradesh,Dhar,1.0,0.67,670.0,RICE,800,26.0,Black
2017,Madhya Pradesh,Dhar,0.73,1.05,1442.47,RICE,800,26.0,Black
2010,Madhya Pradesh,Jhabua,19.9,13.6,683.42,RICE,800,26.0,Black
2011,Madhya Pradesh,Jhabua,20.9,14.8,708.13,RICE,800,26.0,Black
2012,Madhya Pradesh,Jhabua,18.98,9.64,507.9,RICE,800,26.0,Black
2013,Madhya Pradesh,Jhabua,18.82,24.32,1292.24,RICE,800,26.0,Black
2014,Madhya Pradesh,Jhabua,16.0,11.34,708.75,RICE,800,26.0,Black
2015,Madhya Pradesh,Jhabua,15.0,11.33,755.33,RICE,800,26.0,Black
2016,Madhya Pradesh,Jhabua,17.0,19.99,1175.88,RICE,800,26.0,Black
2017,Madhya Pradesh,Jhabua,13.63,16.77,1230.37,RICE,800,26.0,Black
2010,Madhya Pradesh,Khargone / West Nimar,4.3,3.3,767.44,RICE,800,26.0,Black
2011,Madhya Pradesh,Khargone / West Nimar,3.6,2.9,805.56,RICE,800,26.0,Black
2012,Madhya Pradesh,Khargone / West Nimar,3.09,2.47,799.35,RICE,800,26.0,Black
2013,Madhya Pradesh,Khargone / West Nimar,2.83,1.21,427.56,RICE,800,26.0,Black
2014,Madhya Pradesh,Khargone / West Nimar,2.0,4.0,2000.0,RICE,800,26.0,Black
2015,Madhya Pradesh,Khargone / West Nimar,2.0,0.67,335.0,RICE,800,26.0,Black
2016,Madhya Pradesh,Khargone / West Nimar,1.0,0.66,660.0,RICE,800,26.0,Black
2017,Madhya Pradesh,Khargone / West Nimar,1.76,1.94,1100.0,RICE,800,26.0,Black
2010,Madhya Pradesh,Khandwa / East Nimar,8.6,11.7,1360.47,RICE,800,26.0,Black
2011,Madhya Pradesh,Khandwa / East Nimar,7.6,9.4,1236.84,RICE,800,26.0,Black
2012,Madhya Pradesh,Khandwa / East Nimar,5.1,7.73,1515.69,RICE,800,26.0,Black
2013,Madhya Pradesh,Khandwa / East Nimar,4.88,3.92,803.28,RICE,800,26.0,Black
2014,Madhya Pradesh,Khandwa / East Nimar,8.0,10.0,1250.0,RICE,800,26.0,Black
2015,Madhya Pradesh,Khandwa / East Nimar,7.0,3.33,475.71,RICE,800,26.0,Black
2016,Madhya Pradesh,Khandwa / East Nimar,8.0,7.33,916.25,RICE,800,26.0,Black
2017,Madhya Pradesh,Khandwa / East Nimar,5.89,3.38,573.85,RICE,800,26.0,Black
2010,Madhya Pradesh,Sehore,6.6,7.2,1090.91,RICE,800,26.0,Black
2011,Madhya Pradesh,Sehore,13.1,22.1,1687.02,RICE,800,26.0,Black
2012,Madhya Pradesh,Sehore,17.98,45.87,2551.17,RICE,800,26.0,Black
2013,Madhya Pradesh,Sehore,20.18,61.92,3068.38,RICE,800,26.0,Black
2014,Madhya Pradesh,Sehore,46.0,147.33,3202.83,RICE,800,26.0,Black
2015,Madhya Pradesh,Sehore,33.0,116.67,3535.45,RICE,800,26.0,Black
2016,Madhya Pradesh,Sehore,24.0,94.67,3944.58,RICE,800,26.0,Black
2017,Madhya Pradesh,Sehore,36.45,71.99,1975.03,RICE,800,26.0,Black
2010,Madhya Pradesh,Raisen,26.2,33.2,1267.18,RICE,800,26.0,Black
2011,Madhya Pradesh,Raisen,21.5,30.7,1427.91,RICE,800,26.0,Black
2012,Madhya Pradesh,Raisen,35.34,45.38,1284.1,RICE,800,26.0,Black
2013,Madhya Pradesh,Raisen,62.69,54.14,863.61,RICE,800,26.0,Black
2014,Madhya Pradesh,Raisen,137.0,342.67,2501.24,RICE,800,26.0,Black
2015,Madhya Pradesh,Raisen,99.0,226.67,2289.6,RICE,800,26.0,Black
2016,Madhya Pradesh,Raisen,135.0,304.66,2256.74,RICE,800,26.0,Black
2017,Madhya Pradesh,Raisen,112.0,236.84,2114.64,RICE,800,26.0,Black
2010,Madhya Pradesh,Vidisha,0.4,0.4,1000.0,RICE,800,26.0,Black
2011,Madhya Pradesh,Vidisha,0.4,0.4,1000.0,RICE,800,26.0,Black
2012,Madhya Pradesh,Vidisha,0.27,0.27,1000.0,RICE,800,26.0,Black
2013,Madhya Pradesh,Vidisha,1.5,0.84,560.0,RICE,800,26.0,Black
2014,Madhya Pradesh,Vidisha,4.0,3.33,832.5,RICE,800,26.0,Black
2015,Madhya Pradesh,Vidisha,3.0,4.0,1333.33,RICE,800,26.0,Black
2016,Madhya Pradesh,Vidisha,3.0,4.0,1333.33,RICE,800,26.0,Black
2017,Madhya Pradesh,Vidisha,10.5,23.8,2266.67,RICE,800,26.0,Black
2010,Madhya Pradesh,Betul,43.7,60.8,1391.3,RICE,800,26.0,Black
2011,Madhya Pradesh,Betul,42.1,65.8,1562.95,RICE,800,26.0,Black
2012,Madhya Pradesh,Betul,44.86,121.76,2714.22,RICE,800,26.0,Black
2013,Madhya Pradesh,Betul,43.84,98.85,2254.79,RICE,800,26.0,Black
2014,Madhya Pradesh,Betul,47.0,105.33,2241.06,RICE,800,26.0,Black
2015,Madhya Pradesh,Betul,42.0,72.0,1714.29,RICE,800,26.0,Black
2016,Madhya Pradesh,Betul,55.0,97.33,1769.64,RICE,800,26.0,Black
2017,Madhya Pradesh,Betul,45.0,79.11,1758.0,RICE,800,26.0,Black
2010,Madhya Pradesh,Rajgarh,0.5,0.4,800.0,RICE,800,26.0,Black
2011,Madhya Pradesh,Rajgarh,0.6,0.5,833.33,RICE,800,26.0,Black
2012,Madhya Pradesh,Rajgarh,0.42,0.34,809.52,RICE,800,26.0,Black
2013,Madhya Pradesh,Rajgarh,0.36,0.24,666.67,RICE,800,26.0,Black
2014,Madhya Pradesh,Rajgarh,1.0,0.67,670.0,RICE,800,26.0,Black
2015,Madhya Pradesh,Rajgarh,1.0,1.33,1330.0,RICE,800,26.0,Black
2016,Madhya Pradesh,Rajgarh,1.0,2.66,2660.0,RICE,800,26.0,Black
2017,Madhya Pradesh,Rajgarh,1.15,0.75,648.7,RICE,800,26.0,Black
2010,Madhya Pradesh,Shajapur,0.1,0.1,1000.0,RICE,800,26.0,Black
2011,Madhya Pradesh,Shajapur,0.1,0.1,1000.0,RICE,800,26.0,Black
